",,25 jaar aanwinsten,,""pg.15,nr 12"",,,,,Van den Kerkhove, André,,";;;;;;;;;;;;;;
,,dictionnaire des peintres Belges du XIVe siècle a nos jours. = Depuis les premiers maîtres des anciens Pays-Bas méridionaux et de la Principauté de Liège jusqu'aux artistes contemporains,,p.665-666,,,,,5825/,,,;;;;;;;;;;;;;;
10126,http://stamgent.be/collectie/work/id/10126,18de-eeuwse modechroniek in het Museum voor Oudheidkunde,,p.13,Jas,,,,d'Exteyl, R.,,;;;;;;;;;;;;;;
",,Textilia. Kostuums en accessoires uit eigen bezit,http://openlibrary.org/works/OL15777613W,""p.33, nr. 25"",,,,,Van den Kerkhove, André,STAM - Stadsmuseum Gent,https://creativecommons.org/publicdomain/zero/1.0/";;;;;;;;;;;;;;
"00516,,Eenheid en scheiding in de Nederlanden 1555 - 1585,,""p. 56, nr. 60"",Allegorie op de zeven standen,,,""register giften 1833-1924, f°59v.."",Decavele, J.,,";;;;;;;;;;;;;;
",,Catalogus van de schilderijen. : Stad Gent - Oudheidkundig Museum - Abdij van de Bijloke.,,""p. 209-210, ill. 29"",,,,,De Schryver, A.,,";;;;;;;;;;;;;;
,,Gent. 1350 jaar Gentenaars en hun armen en rijken,,p. 330,,,,,Boone, Marc,,;;;;;;;;;;;;;;
,,25 dagen van Nederland 1305-1417,,p. 285,,,,,Speet, Ben,,;;;;;;;;;;;;;;
,,Status en aanzien. De juridische ongelijkheid,,p.69-85,,,,,Bruneel, Claude,,;;;;;;;;;;;;;;
,,Gents jurist danst de dodendans,,,,,,,Martyn, Georges,,;;;;;;;;;;;;;;
A65.02.076.8-16,,25 jaar aanwinsten,,p. 56; nr. 164,Vork,,,,Van den Kerkhove, André,,;;;;;;;;;;;;;
"A65.02.003,http://stamgent.be/collectie/work/id/A65_02_003,Catalogus van de schilderijen. : Stad Gent - Oudheidkundig Museum - Abdij van de Bijloke.,,""p. 233-234, nr. 205"",De brug te Meulestede,,,""Salon de Gand. Notice des ouvrages de peinture, sculpture, architecture, gravure, dessins, etc.des artistes vivans, exposés dans les salles du musée, 1829";" Gand, p.29, nr.247"",De Schryver, A.,,";;;;;;;;;;;;;
",,""Gent en Willem I (1814 - 1830). Herinneringen. : Gent, centrum voor Kunst en Cultuur, 1974"",http://openlibrary.org/works/OL2522978W,""p.54, nr.99"",,,,Document BIB.VLBL.HFI.E.007.05 ( universiteitsbibliotheek Gent) lijst met aankopen door de Commission pour l'encouragement des Beaux Arts op het Salon van 1829 om te verloten.,3050/,,STAM - Stadsmuseum Gent,https://creativecommons.org/publicdomain/zero/1.0/";;;;;;;;;;;;;;
",,Hondervijftig jaar Kanaal Gent - Terneuzen,,""p.31-32, nr.26"",,,,,Decavele, J.,,";;;;;;;;;;;;;;
",,25 jaar aanwinsten,,""p. 15, nr. 11"",,,,,Van den Kerkhove, André,,";;;;;;;;;;;;;;
